set,i,instance,n,d,floor,strategy,best_rho,gap,n_eval,wall,budget
circulant,16,"C88(1,2)",88,4,3.464102,anneal,3.085216,-0.378885,2000,0.671,2000
circulant,16,"C88(1,2)",88,4,3.464102,tabu,3.1097,-0.354402,2000,0.664,2000
circulant,17,"C92(1,2)",92,4,3.464102,family,2.824307,-0.639795,2000,0.854,2000
circulant,17,"C92(1,2)",92,4,3.464102,randcon,3.518425,0.054323,2000,0.831,2000
circulant,17,"C92(1,2)",92,4,3.464102,random,3.154093,-0.310008,2000,0.78,2000
circulant,17,"C92(1,2)",92,4,3.464102,anneal,3.140168,-0.323933,2000,0.742,2000
circulant,17,"C92(1,2)",92,4,3.464102,tabu,3.275749,-0.188353,2000,0.749,2000
circulant,18,"C96(1,2)",96,4,3.464102,family,2.824643,-0.639459,2000,0.897,2000
circulant,18,"C96(1,2)",96,4,3.464102,randcon,3.426628,-0.037474,2000,0.909,2000
circulant,18,"C96(1,2)",96,4,3.464102,random,3.260341,-0.20376,2000,0.835,2000
circulant,18,"C96(1,2)",96,4,3.464102,anneal,3.055932,-0.408169,2000,0.793,2000
circulant,18,"C96(1,2)",96,4,3.464102,tabu,3.341159,-0.122943,2000,0.78,2000
circulant,19,"C100(1,2)",100,4,3.464102,family,2.824939,-0.639162,2000,0.921,2000
circulant,19,"C100(1,2)",100,4,3.464102,randcon,3.514201,0.050099,2000,0.993,2000
circulant,19,"C100(1,2)",100,4,3.464102,random,3.163147,-0.300955,2000,0.912,2000
circulant,19,"C100(1,2)",100,4,3.464102,anneal,3.183089,-0.281013,2000,0.864,2000
circulant,19,"C100(1,2)",100,4,3.464102,tabu,3.393609,-0.070492,2000,0.855,2000
